模块,Relation,中文,Target（最终推断）,置信度,建议状态,旧版Schema依据,推断/Schema备注,Source修正建议,Relation重命名建议
Risk,triggers_alert_when,触发预警,改为节点属性：alert_trigger_condition,高,改为节点属性/不建边,"旧版 active: source=['Risk Information']; target=['Disease', 'Symptom']",按最终标记不再建立 Risk→Disease/Symptom 关系，转换为 Risk.alert_trigger_condition；当前 nodes.csv 尚未列出该属性，更新节点定义时需同步补充。,,
Risk,requires_emergency_action,需要紧急处理,"[""Treatment Plan"",""Treatment"",""Medication""]",中,需复核,旧版未定义该 relation,当前无 Emergency Action 独立节点，只能将紧急处置映射到 Treatment Plan；若后续需要细粒度动作建议新增 Action/Intervention 节点。,,
Risk,escalates_to,升级处理,"[""Treatment Plan"",""Treatment"",""Medication""]",中,需医学复核（建议重命名）,旧版同名关系：needs_medical_review（source/target 未定）,Target 已确定为 Treatment Plan、Treatment、Medication；建议重命名为 requires_escalated_management 后保留为 needs_medical_review。,,requires_escalated_management
Risk,applies_to_patient,适用于患者,"[""Patient""]",高,可加入,旧版未定义该 relation,风险适用于/关联某患者或患者类型。,,
Communication,recommended_for,推荐用于,"[""Disease"", ""Patient""]",高,需修正 Source 后加入,"旧版 active: source=['Communication Method']; target=['Disease', 'Patient Information']",旧版 active 的 Communication Method→recommended_for→Disease/Patient Information 提供了直接依据；新版对应 Communication Strategy→Disease/Patient。,Communication Strategy,
Communication,avoid_with,避免用于,"[""Disease"", ""Patient""]",中,需修正 Source 并复核,旧版同名关系：needs_medical_review（source/target 未定）,旧版 avoid_with 标记 needs_medical_review；与 recommended_for 对称时，Disease/Patient 是较合理 Target，但仍需语料验证。,Communication Strategy,
Communication,applies_to_stage,适用于阶段,改为节点属性：applicable_stage,高,改为节点属性/不建边,旧版未定义该 relation,按最终标记不保留关系，转换为 Communication Strategy.applicable_stage；当前 nodes.csv 尚未列出该属性，更新节点定义时需同步补充。,Communication Strategy,
Communication,requires_family_support,需要家属参与,改为节点属性：requires_family_support,高,改为节点属性/不建边,旧版未定义该 relation,按最终标记不保留关系，转换为 Communication Strategy.requires_family_support；当前 nodes.csv 尚未列出该属性，更新节点定义时需同步补充。,Communication Strategy,
Guideline,recommends,推荐,"[""Medication"", ""Treatment"", ""Treatment Plan"", ""Assessment"", ""Examination"", ""Assessment Scale"", ""Communication Strategy""]",中,需复核,旧版未定义该 relation,这是泛型推荐关系，Target 过宽；可暂保留，但生产 schema 更建议拆成 recommends_medication / recommends_treatment 等。,,
Guideline,based_on_evidence,基于证据,"[""Evidence""]",高,可加入,旧版未定义该 relation,指南基于文献证据。,,
Guideline,updated_from,更新自,"[""Guideline""]",高,可加入,旧版未定义该 relation,指南版本更新自另一指南版本。,,
Evidence,recommended_by,被指南引用,"[""Guideline""]",高,可加入（与 Treatment Plan 同名关系合并）,旧版未定义该 relation,Target=Guideline 明确；按已确认方案保留 recommended_by，并通过 allowed_pairs 仅允许 Treatment Plan/Evidence→Guideline。,,
Evidence,supported_by,被证据支持,"[""Evidence""]",中,需复核,旧版未定义该 relation,可表示研究/证据之间相互支持或复核；但关系语义较泛，需明确什么情况下建立此边。,,
Evidence,derived_from,来源于,"[""Evidence""]",中,需复核,旧版未定义该 relation,当前无 Study 节点，只能将来源研究也建成 Evidence；若后续新增 Study，Target 应改为 Study。,,
Evidence,cites,引用,"[""Evidence""]",高,可加入,旧版未定义该 relation,文献证据引用另一文献证据。,,
Evidence,evidence_level,证据等级,直接删除关系,高,直接删除/不建边,旧版未定义该 relation,最终处置为直接删除；Evidence.Core Properties 已包含 GRADE，无需新增属性或关系。,,
